sede_id,sede,tipo_seccion
ECHES,Administración,Seccion
ERUNI,Administración,Seccion
EHAIT,Administración,Seccion
EKENY,Administración,Seccion
ERUNI,Administración,Seccion
CNYOR,Administración,Seccion
EECUA,Administración  y  Logística,Seccion
EJAPO,Administrativa,Seccion
ESALV,Administrativa  -  Contable,Seccion
EGUAT,Agregada  Administrativa,Seccion
EPNMA,Agregada  Administrativa,Seccion
ETURQ,Agregada  para  Asuntos  Administrativos,Seccion
EPORT,Agregado  Administrativo,Seccion
EISIA,Agregado  Administrativo,Seccion
ETAIL,Agregado  Administrativo,Seccion
CGUAY,AGREGADO  CONSULAR,Seccion
EBRAS,Agregado  Militar  y  de  Defensa,Agregaduria  Militar
EBRAS,Agregado  Naval,Agregaduria  Militar
EBOLV,Agregaduría  Aeronáutica,Seccion
EEEUU,Agregaduria  Aeronautica,Seccion
EHILE,Agregaduria  Aeronáutica,Agregaduria  Militar
EFRUS,Agregaduría  Agrícola,Seccion
ECHIN,Agregaduría  Agrícola,Seccion
ESURI,Agregaduria  de  Defensa,Seccion
EPERU,Agregaduria  de  Defensa  y  Aeronáutica,Agregaduria  Militar
EHILE,Agregaduría  de  Defensa  y  Aeronáutica,Agregaduria  Militar
EBOLV,Agregaduría  de  Defensa  y  Militar,Agregaduria  Militar
EALEM,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Agregaduria  Militar
EFRUS,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Agregaduria  Militar
ECHIN,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Agregaduria  Militar
EISRA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Seccion
EKUWA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Seccion
EMEXI,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Agregaduria  Militar
ERUNI,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Seccion
ESAFR,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Agregaduria  Militar
ECOLO,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Agregaduria  Militar
EITAL,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Agregaduria  Militar
ERUNI,"Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea",Seccion
EHILE,Agregaduría  de  Gendarmería  Nacional,Seccion
EBOLV,Agregaduría  de  Gendarmería  Nacional  Argentina  (GNA),Seccion
EBOLV,Agregaduría  de  Prefectura  Naval,Seccion
EECUA,Agregaduria  Militar,Seccion
EEEUU,Agregaduria  Militar,Seccion
EEGIP,Agregaduría  Militar,Agregaduria  Militar
EHILE,Agregaduria  Militar,Agregaduria  Militar
EEEUU,Agregaduria  Naval,Seccion
EHILE,Agregaduría  Naval,Agregaduria  Militar
EFILI,Ana  Clara  Pianezza  ,Seccion
EFILI,Andrea  Silvina  Repetti,Seccion
CNYOR,Asistencia  a  Argentinos  en  el  Exterior,Seccion
CHONG,Asuntos  Consulares,Sección  Consular
ETUNE,Asuntos  Culturales  ,Seccion
ENIGE,Asuntos  Culturales  y  Prensa,Seccion
EFRUS,Asuntos  Estratégicos,Seccion
EKENY,Asuntos  Multilaterales  (PNUMA-ONU  Hábitat),Seccion
ETRIA,"Asuntos  Nucleares  (OIEA, CTBTO, Zangger  C., NSG)",Seccion
ETRIA,Asuntos  ONUAEE,Seccion
