sede_id,sede,pais,ciudad,estado,sede_tipo,iso_3
CALEG,Consulado  General  en  Porto  Alegre,REPÚBLICA  FEDERATIVA  DEL  BRASIL,Porto  Alegre,Activo,Consulado,BRA
CANTO,Consulado  en  Antofagasta,REPÚBLICA  DE  CHILE,Antofagasta,Activo,Consulado,CHL
CAREN,Consulado  General  en  Punta  Arenas,REPÚBLICA  DE  CHILE,Punta  Arenas,Activo,Consulado,CHL
CASUN,Consulado  General  en  Asunción,REPÚBLICA  DEL  PARAGUAY,Asunción,Activo,Consulado,PRY
CATLA,Consulado  General  en  Atlanta,Estados  Unidos  de  América,Atlanta,Activo,Consulado,USA
CBARC,Consulado  General  y  Centro  de  Promoción  en  Barcelona,REINO  DE  ESPAÑA,Barcelona,Activo,Consulado  General  y  Centro  de  Promoción ,ESP
CBEIJ,Sección  Consular  en  Beijing,REPÚBLICA  POPULAR  DE  CHINA,Beijing,Activo,Consulado,CHN
CBELO,Consulado  en  Belo  Horizonte,REPÚBLICA  FEDERATIVA  DEL  BRASIL,Belo  Horizonte,Activo,Consulado,BRA
CBONN,Consulado  en  Bonn,REPÚBLICA  FEDERAL  DE  ALEMANIA,Bonn,Activo,Consulado,DEU
CCADI,Consulado  en  Cádiz,REINO  DE  ESPAÑA,Cádiz,Activo,Consulado,ESP
CCEST,Consulado  General  en  Ciudad  del  Este,REPÚBLICA  DEL  PARAGUAY,Ciudad  del  Este,Activo,Consulado,PRY
CCHIC,Consulado  General  en  Chicago,Estados  Unidos  de  América,Chicago,Activo,Consulado,USA
CCOCH,Consulado  en  Cochabamba,ESTADO  PLURINACIONAL  DE  BOLIVIA,Cochabamba,Activo,Consulado,BOL
CCOLO,Consulado  en  Colonia,REPÚBLICA  ORIENTAL  DEL  URUGUAY,Colonia,Activo,Consulado,URY
CCONC,Consulado  en  Concepción,REPÚBLICA  DE  CHILE,Concepción,Activo,Consulado,CHL
CCURI,Consulado  en  Curitiba,REPÚBLICA  FEDERATIVA  DEL  BRASIL,Curitiba,Activo,Consulado,BRA
CENCA,Consulado  General  en  Encarnación,REPÚBLICA  DEL  PARAGUAY,Encarnación,Activo,Consulado,PRY
CFBEN,Consulado  en  Fray  Bentos,REPÚBLICA  ORIENTAL  DEL  URUGUAY,Fray  Bentos,Activo,Consulado,URY
CFDIG,Consulado  en  Foz  de  Iguazu,REPÚBLICA  FEDERATIVA  DEL  BRASIL,Foz  de  Iguazu,Activo,Consulado,BRA
CFLOR,Consulado  en  Florianopolis,REPÚBLICA  FEDERATIVA  DEL  BRASIL,Florianopolis,Activo,Consulado,BRA
CFRAN,Consulado  General  y  Centro  de  Promoción  en  Francfort,REPÚBLICA  FEDERAL  DE  ALEMANIA,Francfort,Activo,Consulado  General  y  Centro  de  Promoción ,DEU
CGEST,Consulado  General  y  Centro  de  Promoción  en  Estambul,República  de  Türkiye,Estambul,Activo,Consulado  General  y  Centro  de  Promoción ,TUR
CGMUM,Consulado  General  y  Centro  de  Promoción  en  Mumbai,REPÚBLICA  DE  LA  INDIA,Mumbai,Activo,Consulado  General  y  Centro  de  Promoción ,IND
CGPAZ,Consulado  General  en  La  Paz,ESTADO  PLURINACIONAL  DE  BOLIVIA,La  Paz,Activo,Consulado,BOL
CGTEL,Consulado  General  en  Tel  Aviv,ESTADO  DE  ISRAEL,Tel  Aviv,Activo,Consulado,ISR
CGUAN,Consulado  General  en  Guangzhou,REPÚBLICA  POPULAR  DE  CHINA,Guangzhou,Activo,Consulado,CHN
CGUAY,Consulado  en  Guayaquil,REPÚBLICA  DEL  ECUADOR,Guayaquil,Activo,Consulado,ECU
CGVAN,Consulado  General  en  Vancouver,CANADÁ,Vancouver,Activo,Consulado,CAN
CHAMB,Consulado  General  en  Hamburgo,REPÚBLICA  FEDERAL  DE  ALEMANIA,Hamburgo,Activo,Consulado,DEU
CHONG,Consulado  General  en  Hong  Kong,REPÚBLICA  POPULAR  DE  CHINA,Hong  Kong,Activo,Consulado,CHN
CHOUS,Consulado  General  en  Houston,Estados  Unidos  de  América,Houston,Activo,Consulado,USA
CJOHA,Consulado  General  en  Johannesburgo,REPÚBLICA  DE  SUDÁFRICA,Johannesburgo,Activo,Consulado,ZAF
CLANG,Consulado  General  y  Centro  de  Promoción  en  Los  Ángeles,Estados  Unidos  de  América,Los  Angeles,Activo,Consulado  General  y  Centro  de  Promoción ,USA
CLIMA,Consulado  General  en  Lima,REPÚBLICA  DEL  PERÚ,Lima,Activo,Consulado,PER
CLOND,Consulado  General  en  Londres,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,Londres,Activo,Consulado,GRB
CMADR,Consulado  General  en  Madrid,REINO  DE  ESPAÑA,Madrid,Activo,Consulado,ESP
CMALD,Consulado  en  Maldonado,REPÚBLICA  ORIENTAL  DEL  URUGUAY,Maldonado,Activo,Consulado,URY
CMALL,Consulado  en  Palma,REINO  DE  ESPAÑA,Palma,Activo,Consulado,ESP
CMDEO,Consulado  General  en  Montevideo,REPÚBLICA  ORIENTAL  DEL  URUGUAY,Montevideo,Activo,Consulado,URY
CMEXI,Consulado  General  en  México,ESTADOS  UNIDOS  MEXICANOS,México,Activo,Consulado,MEX
CMIAM,Consulado  General  y  Centro  de  Promoción  en  Miami,Estados  Unidos  de  América,Miami,Activo,Consulado  General  y  Centro  de  Promoción ,USA
CMILA,Consulado  General  y  Centro  de  Promoción  en  Milán,REPÚBLICA  ITALIANA,Milan,Activo,Consulado  General  y  Centro  de  Promoción ,ITA
CMREA,Consulado  General  en  Montreal,CANADÁ,Montreal,Activo,Consulado,CAN
CNYOR,Consulado  General  y  Centro  de  Promoción  en  Nueva  York,Estados  Unidos  de  América,Nueva  York,Activo,Consulado  General  y  Centro  de  Promoción ,USA
CPABL,Consulado  General  y  Centro  de  Promoción  en  San  Pablo,REPÚBLICA  FEDERATIVA  DEL  BRASIL,San  Pablo,Activo,Consulado  General  y  Centro  de  Promoción ,BRA
CPAYS,Consulado  en  Paysandú,REPÚBLICA  ORIENTAL  DEL  URUGUAY,Paysandú,Activo,Consulado,URY
CPCAR,Consulado  en  Playa  del  Carmen,ESTADOS  UNIDOS  MEXICANOS,Playa  del  Carmen,Activo,Consulado,MEX
